"set_id","position","item_id","item_text"
"B01",1,"bws_01","The overall cost of treatment"
"B01",2,"bws_04","Fear of the surgery itself"
"B01",3,"bws_06","Not wanting to take time off work"
"B01",4,"bws_07","Being told my health made me unsuitable"
"B02",1,"bws_01","The overall cost of treatment"
"B02",2,"bws_02","Not being able to spread the cost over time"
"B02",3,"bws_05","Not knowing where to go for reliable information"
"B02",4,"bws_07","Being told my health made me unsuitable"
"B03",1,"bws_01","The overall cost of treatment"
"B03",2,"bws_02","Not being able to spread the cost over time"
"B03",3,"bws_03","Worry about whether the implants would last"
"B03",4,"bws_06","Not wanting to take time off work"
"B04",1,"bws_02","Not being able to spread the cost over time"
"B04",2,"bws_03","Worry about whether the implants would last"
"B04",3,"bws_04","Fear of the surgery itself"
"B04",4,"bws_07","Being told my health made me unsuitable"
"B05",1,"bws_01","The overall cost of treatment"
"B05",2,"bws_03","Worry about whether the implants would last"
"B05",3,"bws_04","Fear of the surgery itself"
"B05",4,"bws_05","Not knowing where to go for reliable information"
"B06",1,"bws_02","Not being able to spread the cost over time"
"B06",2,"bws_04","Fear of the surgery itself"
"B06",3,"bws_05","Not knowing where to go for reliable information"
"B06",4,"bws_06","Not wanting to take time off work"
"B07",1,"bws_03","Worry about whether the implants would last"
"B07",2,"bws_05","Not knowing where to go for reliable information"
"B07",3,"bws_06","Not wanting to take time off work"
"B07",4,"bws_07","Being told my health made me unsuitable"
