"set_id","block","dominance","alt","rate","fee","display_text"
"S01",1,0,"A",6,250,"Repay 6% of earnings above £12,570 | Upfront fee: £250"
"S01",1,0,"B",12,0,"Repay 12% of earnings above £12,570 | Upfront fee: £0"
"S02",1,0,"A",6,250,"Repay 6% of earnings above £12,570 | Upfront fee: £250"
"S02",1,0,"B",15,0,"Repay 15% of earnings above £12,570 | Upfront fee: £0"
"S03",1,0,"A",6,750,"Repay 6% of earnings above £12,570 | Upfront fee: £750"
"S03",1,0,"B",9,0,"Repay 9% of earnings above £12,570 | Upfront fee: £0"
"S04",1,0,"A",6,750,"Repay 6% of earnings above £12,570 | Upfront fee: £750"
"S04",1,0,"B",9,250,"Repay 9% of earnings above £12,570 | Upfront fee: £250"
"S05",2,0,"A",6,750,"Repay 6% of earnings above £12,570 | Upfront fee: £750"
"S05",2,0,"B",15,250,"Repay 15% of earnings above £12,570 | Upfront fee: £250"
"S06",2,0,"A",9,250,"Repay 9% of earnings above £12,570 | Upfront fee: £250"
"S06",2,0,"B",15,0,"Repay 15% of earnings above £12,570 | Upfront fee: £0"
"S07",2,0,"A",9,750,"Repay 9% of earnings above £12,570 | Upfront fee: £750"
"S07",2,0,"B",12,0,"Repay 12% of earnings above £12,570 | Upfront fee: £0"
"S08",1,0,"A",9,750,"Repay 9% of earnings above £12,570 | Upfront fee: £750"
"S08",1,0,"B",12,250,"Repay 12% of earnings above £12,570 | Upfront fee: £250"
"S09",2,0,"A",9,750,"Repay 9% of earnings above £12,570 | Upfront fee: £750"
"S09",2,0,"B",15,250,"Repay 15% of earnings above £12,570 | Upfront fee: £250"
"S10",2,0,"A",12,250,"Repay 12% of earnings above £12,570 | Upfront fee: £250"
"S10",2,0,"B",15,0,"Repay 15% of earnings above £12,570 | Upfront fee: £0"
"S11",2,0,"A",12,750,"Repay 12% of earnings above £12,570 | Upfront fee: £750"
"S11",2,0,"B",15,0,"Repay 15% of earnings above £12,570 | Upfront fee: £0"
"S12",1,0,"A",12,750,"Repay 12% of earnings above £12,570 | Upfront fee: £750"
"S12",1,0,"B",15,250,"Repay 15% of earnings above £12,570 | Upfront fee: £250"
"SDOM",NA,1,"A",6,0,"Repay 6% of earnings above £12,570 | Upfront fee: £0"
"SDOM",NA,1,"B",15,750,"Repay 15% of earnings above £12,570 | Upfront fee: £750"
