"set_id","block","dominance","alt1_rate","alt2_rate","alt1_fee","alt2_fee","alt1_rate_text","alt2_rate_text","alt1_fee_text","alt2_fee_text"
"S01",1,0,6,12,250,0,"Repay 6% of earnings above £12,570","Repay 12% of earnings above £12,570","Upfront fee: £250","Upfront fee: £0"
"S02",1,0,6,15,250,0,"Repay 6% of earnings above £12,570","Repay 15% of earnings above £12,570","Upfront fee: £250","Upfront fee: £0"
"S03",1,0,6,9,750,0,"Repay 6% of earnings above £12,570","Repay 9% of earnings above £12,570","Upfront fee: £750","Upfront fee: £0"
"S04",1,0,6,9,750,250,"Repay 6% of earnings above £12,570","Repay 9% of earnings above £12,570","Upfront fee: £750","Upfront fee: £250"
"S05",2,0,6,15,750,250,"Repay 6% of earnings above £12,570","Repay 15% of earnings above £12,570","Upfront fee: £750","Upfront fee: £250"
"S06",2,0,9,15,250,0,"Repay 9% of earnings above £12,570","Repay 15% of earnings above £12,570","Upfront fee: £250","Upfront fee: £0"
"S07",2,0,9,12,750,0,"Repay 9% of earnings above £12,570","Repay 12% of earnings above £12,570","Upfront fee: £750","Upfront fee: £0"
"S08",1,0,9,12,750,250,"Repay 9% of earnings above £12,570","Repay 12% of earnings above £12,570","Upfront fee: £750","Upfront fee: £250"
"S09",2,0,9,15,750,250,"Repay 9% of earnings above £12,570","Repay 15% of earnings above £12,570","Upfront fee: £750","Upfront fee: £250"
"S10",2,0,12,15,250,0,"Repay 12% of earnings above £12,570","Repay 15% of earnings above £12,570","Upfront fee: £250","Upfront fee: £0"
"S11",2,0,12,15,750,0,"Repay 12% of earnings above £12,570","Repay 15% of earnings above £12,570","Upfront fee: £750","Upfront fee: £0"
"S12",1,0,12,15,750,250,"Repay 12% of earnings above £12,570","Repay 15% of earnings above £12,570","Upfront fee: £750","Upfront fee: £250"
"SDOM",NA,1,6,15,0,750,"Repay 6% of earnings above £12,570","Repay 15% of earnings above £12,570","Upfront fee: £0","Upfront fee: £750"
